Byrgius	c	-24.73	-65.38	84.5
Mersenius	c	-21.49	-49.34	84.5
Neumayer	c	-71.16	70.92	84.4
Lamé	c	-14.76	64.56	84.3
Rocca	c	-12.89	-72.89	84.1
Newton	c	-76.52	-17.44	83.9
Metius	c	-40.42	43.37	83.8
Montes Recti	o	48.30	-19.72	83.2
Lamont	c	5.14	23.32	83.2
Mouchez	c	78.38	-26.82	82.8
Barocius	c	-44.98	16.81	82.7
Rabbi Levi	c	-34.78	23.46	82.4
Dorsa Dana	o	2.26	89.60	82.3
Hase	c	-29.37	62.68	82.1
Geminus	c	34.42	56.66	82.0
Hubble	c	22.29	86.91	81.8
Sasserides	c	-39.28	-9.44	81.7
Anaximenes	c	72.48	-44.98	81.1
Archimedes	c	29.72	-3.99	81.0
Dorsa Andrusov	o	-1.56	56.77	81.0
La Pérouse	c	-10.67	76.28	80.4
Rimae Sulpicius Gallus	o	20.65	9.99	80.0
Pitiscus	c	-50.61	30.57	79.8
Aliacensis	c	-30.60	5.13	79.6
Gauricus	c	-33.91	-12.74	79.6
Hagecius	c	-59.92	46.63	79.5
Nobile	c	-85.28	53.27	79.3
Colombo	c	-15.26	46.02	79.0
Zagut	c	-31.94	21.89	78.9
Fabricius	c	-42.75	41.84	78.9
Gibbs	c	-18.37	84.27	78.8
Peary	c	88.63	24.40	78.7
Oken	c	-43.76	76.09	78.7
Hartwig	c	-6.14	-80.47	78.5
Nasmyth	c	-50.49	-56.39	78.4
Lacus Lenitatis	p	14.32	12.05	78.3
Legendre	c	-28.92	70.02	78.1
Rimae Posidonius	o	32.03	29.61	78.0
Cuvier	c	-50.29	9.69	77.3
Montanari	c	-45.83	-20.76	77.1
Biela	c	-54.99	51.63	77.0
Petermann	c	74.35	67.89	76.9
Clairaut	c	-47.84	13.86	76.9
Galvani	c	49.51	-84.56	76.8
Lacus Spei	p	43.46	65.20	76.7
Mons Bradley	o	21.73	0.38	76.5
Mutus	c	-63.65	29.93	76.3
Flammarion	c	-3.33	-3.73	76.2
Dorsa Sorby	o	18.65	13.70	76.0
Licetus	c	-47.19	6.54	75.4
Berosus	c	33.50	69.99	75.2
Rimae Fresnel	o	28.11	3.73	75.0
Rimae Ritter	o	3.50	17.97	75.0
Condorcet	c	12.10	69.58	74.9
Rima Messier	o	-0.76	44.55	74.2
Hédervári	c	-81.77	85.60	74.1
Jansky	c	8.63	89.50	73.8
Vega	c	-45.41	63.27	73.5
Oenopides	c	57.13	-64.20	73.5
Reiner Gamma	o	7.39	-58.96	73.4
Mons Rümker	o	40.76	-58.38	73.2
Goclenius	c	-10.05	45.03	73.0
Olbers	c	7.30	-76.14	73.0
Nearch	c	-58.58	39.01	72.8
Lacus Odii	p	19.22	7.27	72.7
Malapert	c	-85.00	11.40	72.4
Riccius	c	-37.02	26.43	71.8
Bettinus	c	-63.40	-45.16	71.8
Stevinus	c	-32.49	54.14	71.5
Young	c	-41.54	50.98	71.4
Philolaus	c	72.22	-32.88	71.4
Kircher	c	-67.01	-45.48	71.2
Lavoisier	c	38.17	-81.25	71.0
Rimae Maestlin	o	2.88	-40.48	71.0
Rheita	c	-37.10	47.17	70.8
Sinus Fidei	p	17.99	2.04	70.7
Parrot	c	-14.57	3.29	70.7
Gutenberg	c	-8.61	41.25	70.6
Lacus Perseverantiae	p	7.84	61.93	70.6
Nonius	c	-34.90	3.79	70.6
Werner	c	-28.03	3.29	70.6
Hainzel	c	-41.23	-33.52	70.6
Eudoxus	c	44.27	16.23	70.2
Bohr	c	12.71	-86.52	70.1
Rimae Gassendi	o	-17.47	-39.87	70.0
Promontorium Taenarium	o	-18.63	-7.34	70.0
Rima Billy	o	-14.74	-48.04	69.8
Plutarch	c	24.18	79.05	69.6
Catena Taruntius	o	3.04	48.71	69.2
Balboa	c	19.24	-83.31	69.2
Florey	c	87.04	-19.75	69.1
Faraday	c	-42.45	8.75	69.0
Simpelius	c	-72.61	14.74	68.9
Anaximander	c	66.97	-51.44	68.7
Zach	c	-60.92	5.25	68.5
Stadius	c	10.48	-13.77	68.5
Fernelius	c	-38.18	4.86	68.4
Le Monnier	c	26.66	30.50	68.4
Hercules	c	46.82	39.21	68.3
Rima Artsimovich	o	26.66	-38.65	68.1
Sinus Viscositatis	p	35.25	-40.99	68.0
Short	c	-74.54	-7.68	67.9
Segner	c	-58.96	-48.68	67.8
Rima T. Mayer	o	13.26	-31.37	67.8
Kiess	c	-6.41	84.11	67.8
Lyapunov	c	26.43	89.36	67.6
Poncelet	c	75.91	-54.57	67.6
La Caille	c	-23.68	1.08	67.2
Mons Malapert	o	-85.98	-1.67	67.0
Zeno	c	45.15	72.98	66.8
Wilson	c	-69.33	-42.83	66.6
Weiss	c	-31.76	-19.59	66.6
Watt	c	-49.60	48.48	66.5
Dorsa Stille	o	26.91	-18.85	66.3
Jacobi	c	-56.82	11.30	66.3
Rima Furnerius	o	-35.30	61.17	65.9
Huggins	c	-41.07	-1.52	65.8
Baco	c	-51.04	19.10	65.3
Doppelmayer	c	-28.48	-41.51	65.1
Mons Hua	o	45.71	-52.26	65.0
Heinsius	c	-39.48	-17.82	64.9
Dorsum Gast	o	24.38	8.71	64.9
Reichenbach	c	-30.48	47.95	64.8
Pilâtre	c	-60.17	-86.70	64.4
Mercurius	c	46.66	66.07	64.3
Gill	c	-63.77	75.95	63.9
De Sitter	c	79.81	38.57	63.8
Lexell	c	-35.78	-4.27	63.7
Harlan	c	-38.31	79.65	63.5
Apianus	c	-26.96	7.87	63.4
Steinheil	c	-48.71	46.66	63.3
Adams	c	-31.89	68.39	63.3
Cleostratus	c	60.32	-77.40	63.2
Zucchius	c	-61.38	-50.65	63.2
Dorsum Higazy	o	27.93	-17.47	63.1
Macrobius	c	21.26	45.97	62.8
Euctemon	c	76.26	30.57	62.7
Promontorium Agarum	o	13.87	65.73	62.5
Santbech	c	-20.99	44.06	62.2
Abulfeda	c	-13.87	13.91	62.2
von Braun	c	41.04	-78.08	61.8
Peirescius	c	-46.41	67.80	61.5
Mons Argaeus	o	19.33	29.01	61.5
Miller	c	-39.37	0.78	61.4
Boole	c	63.79	-87.29	61.3
Schumacher	c	42.42	60.81	61.3
Lilius	c	-54.60	6.09	61.2
Cusanus	c	71.82	69.40	60.9
Guericke	c	-11.57	-14.19	60.8
Bullialdus	c	-20.75	-22.26	60.7
Dalton	c	17.07	-84.45	60.7
Pictet	c	-43.56	-7.49	59.9
Blanchinus	c	-25.32	2.44	59.9
Capuanus	c	-34.09	-26.73	59.7
Hanno	c	-56.46	71.38	59.5
Wilkins	c	-29.58	19.58	59.4
Cavalerius	c	5.10	-66.93	59.3
Sylvester	c	82.65	-81.22	59.3
Bonpland	c	-8.38	-17.33	59.2
Montes Spitzbergen	o	34.47	-5.21	59.2
Langley	c	51.17	-86.05	59.2
Carpenter	c	69.52	-51.23	59.1
Mallet	c	-45.41	54.05	58.9
Eratosthenes	c	14.47	-11.32	58.8
Street	c	-46.58	-10.74	58.5
Wrottesley	c	-23.90	56.62	58.4
Lade	c	-1.33	9.99	58.1
Oberbeck	c	-83.55	68.14	58.0
Baade	c	-44.75	-82.03	57.9
Murchison	c	5.07	-0.21	57.8
Fraunhofer	c	-39.52	59.06	57.8
Rima Delisle	o	30.87	-32.35	57.6
Cannon	c	19.88	81.36	57.6
Hamilton	c	-42.77	84.41	57.5
Hippalus	c	-24.92	-30.42	57.4
Taruntius	c	5.50	46.54	57.3
Ulugh Beigh	c	32.67	-81.96	57.0
Rimae Arzachel	o	-18.31	-1.38	57.0
Cassini	c	40.25	4.64	56.9
Firmicus	c	7.25	63.43	56.8
Marinus	c	-39.38	76.57	56.6
Pentland	c	-64.57	11.34	56.4
Behaim	c	-16.61	79.41	56.2
Franklin	c	38.73	47.64	55.9
Pontanus	c	-28.42	14.36	55.7
Petrov	c	-61.36	88.18	55.4
Bunsen	c	41.40	-85.46	55.2
Catena Krafft	o	14.91	-72.25	55.1
Rimae Opelt	o	-13.64	-18.14	55.0
Kane	c	62.99	25.84	55.0
Bartels	c	24.51	-89.85	55.0
Scoresby	c	77.73	14.13	54.9
Strabo	c	61.94	54.42	54.7
Thebit	c	-22.01	-4.02	54.6
Saussure	c	-43.38	-3.88	54.6
Gum	c	-40.34	88.91	54.5
Epigenes	c	67.50	-4.62	54.5
Aristillus	c	33.88	1.21	54.4
Burckhardt	c	31.11	56.39	54.4
Maclaurin	c	-1.92	67.99	54.3
Rima Agatharchides	o	-20.38	-28.56	54.3
Rima Birt	o	-21.40	-9.28	54.2
Stokes	c	52.36	-88.11	53.9
